type,post_id,comment_id,parent_comment_id,category,author_nickname,author_id,created_at,content,like_count,comment_count,url
post,4278803,,,자유수다,변호사자,6602967,17시간 전,"나나 연조직윤곽술 후기 나도 낋여왔긔❤ ㅋㅋㅋ
요즘 연조직윤곽술 모르는 사람 있나?
모르는 사람 늙크크 인정 ㅋㅋㅋㅋㅋ
사실 나도 한두달전까진 몰랐긔❤
원래는 윤곽을 해야하나
이나이에 벌써부터 거상을 해야하나
실리프팅 해봤자 6개월
백번양보해서 울쎄라 받아도 1년 남짓인데
도대체 뭘 어떻게 해야하나 싶었징❤ ㅎㅎㅎㅎㅎㅎㅎㅎ
지금이야 웃으면서 말하지만 이때 진짜 정병 개쎄게걸렸음 ㅎ
그러다가 발견한게 나나 연조직윤곽술인데
영크크 늙크크 뜻도 얼마전에 들은 세상이랑 담쌓고 살던 나한텐
와 이 수술자체가 굉장히 충격이더라
상담 가서 물어보니 난 거상이나 윤곽 안해도 된데 ㅇㅅㅇ
연조직윤곽술만 받아도 효과 좋을거같다고...ㅋㅋ
그냥 그대로 수술 받았는데 효과 무엇 ㅋㅋ
효과 뒤지게 좋아서 아직도 안믿김 ㅋㅋㅋㅋㅋ
얼굴 작아졌지 처진살 올라갔지
그리고 살 처진거 올라가면서 팔자도 없어지고
얼굴 울퉁불퉁한것도 해결됐긔❤
안그래도 요즘 인스타 보면서 저장하면서
얼굴 갸름한 인플루언서상? 팔로우하면서 보석함 저장중인데
그런 추구미에 한발짝 더 가까워진 것 같달까 ㅎvㅎ
공주 기분 진짜 넘좋긩 ㅎㅎㅎㅎ 
효과 진짜 좋은데 나처럼 이뻐지고 싶음 연조직 받아보는거 추천하긔❤❤❤❤❤
(울 언니 나 수술한거 보고 이마거상 상담하러감 ㅋㅋㅋㅋㅋ 개웃김ㅋㅋㅋ)",112,316,https://www.gangnamunni.com/community/4278803
comment,4278803,25182389,,,연청a,5335118,2026-06-29T05:15:40Z,ㄷㄷ,0,,
comment,4278803,25182384,,,unniG8CTbi,7383652,2026-06-29T05:15:14Z,오..,0,,
comment,4278803,25182273,,,고랑이1,5554275,2026-06-29T05:10:27Z,ㅗㅇ옹,0,,
comment,4278803,25181898,,,닉넴이네,1766660,2026-06-29T04:48:06Z,ㅎ,0,,
comment,4278803,25181799,,,unniIWd2b4,7723255,2026-06-29T04:37:10Z,좋다,0,,
comment,4278803,25181721,,,nonju,7615870,2026-06-29T04:31:29Z,いいね,0,,
comment,4278803,25181675,,,미스리s,3889730,2026-06-29T04:25:35Z,와우,0,,
comment,4278803,25181375,,,짜파게티계란,6451233,2026-06-29T03:33:37Z,귯,0,,
comment,4278803,25181371,,,밤양갱v,6112294,2026-06-29T03:33:04Z,굿,0,,
comment,4278803,25181335,,,성형하는무지,4337716,2026-06-29T03:29:40Z,👍 ,0,,
comment,4278803,25181299,,,뀨우잉잉,2129169,2026-06-29T03:26:12Z,굿,0,,
comment,4278803,25181257,,,vcvvv,1565543,2026-06-29T03:21:56Z,와,0,,
comment,4278803,25181232,,,unniGWM4IU,8896180,2026-06-29T03:19:34Z,꺄 예뻐용ㅎㅎ,0,,
comment,4278803,25181208,,,unni0QmFLF,7270090,2026-06-29T03:17:28Z,너무 예쁘게 잘되었네영,0,,
comment,4278803,25180959,,,unniQIYJu4,8904453,2026-06-29T02:53:06Z,ㅇ,0,,
comment,4278803,25180738,,,뿌까칩,6051248,2026-06-29T02:32:14Z,옼ㅋㅋ 전후차이 지리긔,0,,
comment,4278803,25180718,,,白鳥うさぎ,7369980,2026-06-29T02:30:26Z,素晴らしい,0,,
comment,4278803,25180609,,,hjhjhj423,5501719,2026-06-29T02:23:19Z,대박 ,0,,
comment,4278803,25180558,,,에세,7733381,2026-06-29T02:18:31Z,굳,0,,
comment,4278803,25180482,,,머할가나,7104219,2026-06-29T02:11:53Z,ㄷㄷ... 대단,0,,
comment,4278803,25180462,,,분홍장미2,5897592,2026-06-29T02:10:33Z,아흐 이뻐요,0,,
comment,4278803,25180424,,,하우늰,2326473,2026-06-29T02:07:46Z,와,0,,
comment,4278803,25180197,,,썬유현,7832000,2026-06-29T01:52:42Z,잘되셨어요,0,,
comment,4278803,25179910,,,웃자구,5286932,2026-06-29T01:33:59Z,추카추카,0,,
comment,4278803,25179849,,,두유조아요,6498216,2026-06-29T01:30:32Z,축하해 ,0,,
comment,4278803,25179759,,,이정00,6263012,2026-06-29T01:24:21Z,좋네요,0,,
comment,4278803,25179607,,,휴하히허,4102804,2026-06-29T01:09:53Z,4,0,,
comment,4278803,25179592,,,unniF9ND44,8752726,2026-06-29T01:08:20Z,정보 부탁드려요!!,0,,
comment,4278803,25179553,,,쏘이홍,6825358,2026-06-29T01:04:02Z,오,0,,
comment,4278803,25179470,,,픽스팍스,8595148,2026-06-29T00:53:02Z,대박이다 진짜 잘됨ㅋㅋㅋ,0,,
comment,4278803,25179444,,,투맛토,6683910,2026-06-29T00:50:15Z,우앙,0,,
comment,4278803,25179316,,,orange0141,3215041,2026-06-29T00:31:40Z,와우,0,,
comment,4278803,25179296,,,unniCYiY1m,8752880,2026-06-29T00:29:30Z,굳,0,,
comment,4278803,25179292,,,unni5MTssC,8647382,2026-06-29T00:29:05Z,오오,0,,
comment,4278803,25179279,,,딸기공주뽀삐,2976158,2026-06-29T00:28:12Z,이뻐용,0,,
comment,4278803,25179253,,,unniGKmFQe,8796010,2026-06-29T00:25:17Z,굿,0,,
comment,4278803,25179145,,,icame,4424960,2026-06-29T00:11:17Z,우와,0,,
comment,4278803,25179107,,,unniEQtPJY,9273440,2026-06-29T00:05:06Z,이쁘게 잘되셨어요!,0,,
comment,4278803,25179090,,,lalla114,548776,2026-06-29T00:02:55Z,이뻐이뿌오오어,0,,
comment,4278803,25179054,,,과학탐구영역,3880906,2026-06-28T23:55:02Z,굿,0,,
comment,4278803,25179045,,,45키로목표!!!,4268962,2026-06-28T23:52:30Z,굿 ,0,,
comment,4278803,25179040,,,로제ㅎㅎ,4112246,2026-06-28T23:50:13Z,잘되셨어요,0,,
comment,4278803,25179025,,,히릿1555,1234327,2026-06-28T23:45:02Z,자연스럽네요,0,,
comment,4278803,25178972,,,みみんこちゃんやん,3508568,2026-06-28T23:30:25Z,それすごいですよね！,0,,
comment,4278803,25178962,,,shj575,5261765,2026-06-28T23:27:27Z,굿,0,,
comment,4278803,25178958,,,달별해ll,3494798,2026-06-28T23:26:38Z,오 잘됐네요,0,,
comment,4278803,25178927,,,윤기메리미,4873520,2026-06-28T23:21:26Z,잘됐네요~ 연조직 윤곽술 많이 보이던데 이건 근육 두꺼운 사람들 하나봐요?,0,,
comment,4278803,25178902,,,체디아,4894381,2026-06-28T23:15:40Z,👍👍,0,,
comment,4278803,25178897,,,내정보수정닉네임,2872542,2026-06-28T23:12:11Z,오,0,,
comment,4278803,25178895,,,uunnoio,7954589,2026-06-28T23:10:45Z,굿,0,,
comment,4278803,25178887,,,년짱이다,2390781,2026-06-28T23:00:23Z,숫,0,,
comment,4278803,25178881,,,ㅇㄹㄷㅇㄱㄴ,4555019,2026-06-28T22:54:08Z,라인 괜찮아요 ,0,,
comment,4278803,25178880,,,레이저제모굿,9016876,2026-06-28T22:54:06Z,잘됬네요,0,,
comment,4278803,25178879,,,메롱이다앙앙,6582469,2026-06-28T22:53:16Z,와우,0,,
comment,4278803,25178875,,,헤븨,6207221,2026-06-28T22:51:06Z,👍 ,0,,
comment,4278803,25178860,,,@ni,4966304,2026-06-28T22:43:00Z,いいね,0,,
comment,4278803,25178856,,,@ni,4966304,2026-06-28T22:40:46Z,いいね,0,,
comment,4278803,25178843,,,우아한쌀국수,6212981,2026-06-28T22:28:41Z,와우 대박 👍 ,0,,
comment,4278803,25178828,,,펩시라이트,3025523,2026-06-28T22:15:26Z,굿,0,,
comment,4278803,25178822,,,우뜌,1297372,2026-06-28T22:10:06Z,오,0,,
comment,4278803,25178798,,,unniRNY44W,7420614,2026-06-28T21:11:07Z,오,0,,
comment,4278803,25178790,,,こぺまる,5314741,2026-06-28T20:59:40Z,めちゃくちゃいい！！,0,,
comment,4278803,25178787,,,가로본능7,1784026,2026-06-28T20:51:41Z,굳,0,,
comment,4278803,25178786,,,고로게77,5032520,2026-06-28T20:51:22Z,굳,0,,
comment,4278803,25178783,,,율아62,4253013,2026-06-28T20:14:43Z,이뻐용,0,,
comment,4278803,25178772,,,Kk0428,9698712,2026-06-28T19:27:30Z,Please share the information. Thank you!,0,,
comment,4278803,25178770,,,신난곰돌이,3650375,2026-06-28T19:02:22Z,얼마나 아퍼요? ㅠㅠ,0,,
comment,4278803,25178719,,,Hdmxov,6229437,2026-06-28T17:50:08Z,bb,0,,
comment,4278803,25178718,,,cho1616,4141448,2026-06-28T17:49:30Z,오,0,,
comment,4278803,25178717,,,unni5dRPnd,9174614,2026-06-28T17:48:39Z,oh,0,,
comment,4278803,25178702,,,생갈치일호의행방불명,5668429,2026-06-28T17:13:11Z,와 효과,0,,
comment,4278803,25178650,,,얌125,4733923,2026-06-28T16:17:11Z,저두 정보좀요 !!,0,,
comment,4278803,25178635,,,الخوخ,4508054,2026-06-28T16:06:11Z,かわいい,0,,
comment,4278803,25178631,,,내가만든쿠키띠,7104746,2026-06-28T16:01:50Z,오,0,,
comment,4278803,25178629,,,달무리랑,3815535,2026-06-28T16:01:00Z,얼굴형 부러워요,0,,
comment,4278803,25178625,,,떡값굿뜨,8135933,2026-06-28T15:53:32Z,오 ㅋㅋㅋㅋㅋ 나 몰앗어 신기한데 검색한번 햐바야쥐~~~~,0,,
comment,4278803,25178624,,,35kg인데팔뚝미워,9144475,2026-06-28T15:53:29Z,개장더ㅣㅅ다,0,,
comment,4278803,25178621,,,메아리12,3687178,2026-06-28T15:52:16Z,ㄱ,0,,
comment,4278803,25178618,,,젠트리22,4682878,2026-06-28T15:49:04Z,굿,0,,
comment,4278803,25178597,,,sjsj5911,5744775,2026-06-28T15:32:14Z,대박,0,,
comment,4278803,25178595,,,야채부락리10,4372984,2026-06-28T15:31:00Z,거상,0,,
comment,4278803,25178587,,,이퓨리퓨,1424418,2026-06-28T15:26:44Z,오,0,,
comment,4278803,25178563,,,후에이잉,4626762,2026-06-28T15:14:09Z,우아,0,,
comment,4278803,25178560,,,absan,7232537,2026-06-28T15:12:54Z,かわいい,0,,
comment,4278803,25178558,,,unniRnUV5q,6853756,2026-06-28T15:11:09Z,굿,0,,
comment,4278803,25178555,,,unni61IOpD,7947777,2026-06-28T15:09:14Z,오,0,,
comment,4278803,25178552,,,에어룸,7957088,2026-06-28T15:06:56Z,네,0,,
comment,4278803,25178548,,,벨리하는미라,3447344,2026-06-28T15:05:18Z,이쁘네용 ,0,,
comment,4278803,25178543,,,ㄱㅈㅎ.,6510304,2026-06-28T15:03:30Z,👍👍,0,,
comment,4278803,25178535,,,닉넴이네,1766660,2026-06-28T15:01:19Z,ㅎ,0,,
comment,4278803,25178534,,,unniW0hlXu,7705387,2026-06-28T15:01:18Z,이,0,,
comment,4278803,25178520,,,박박디라라.,4380677,2026-06-28T14:58:45Z,오,0,,
comment,4278803,25178519,,,빛깔쵸파,6103720,2026-06-28T14:58:14Z,👋🏻,0,,
comment,4278803,25178482,,,하아오아이,4633275,2026-06-28T14:46:31Z,오,0,,
comment,4278803,25178481,,,엠지씨,2449723,2026-06-28T14:46:24Z,"우와 완전 영크크되셨어요,,,,",0,,
comment,4278803,25178473,,,오이시쿠날애,5557323,2026-06-28T14:43:04Z,추카해요 ,0,,
comment,4278803,25178467,,,해피몬,3040195,2026-06-28T14:40:36Z,열햐ㅑㅙㅓㅔㅏ,0,,
comment,4278803,25178451,,,안녕미미님,4637717,2026-06-28T14:33:40Z,대박 ,0,,
comment,4278803,25178450,,,김식스,1435051,2026-06-28T14:33:26Z,대박 ,0,,
